,UniProt,visit_month,NPX
0,O00391,0,11829.386449275364
1,O00391,3,12481.25
2,O00391,6,11809.4404
3,O00391,12,11200.48464
4,O00391,18,11544.004285714285
5,O00391,24,11936.832521008404
6,O00391,30,13202.8
7,O00391,36,11670.368165137614
8,O00391,48,11385.755083333332
9,O00391,54,12283.599999999999
10,O00391,60,11520.004909090909
11,O00391,72,12267.492727272725
12,O00391,84,11550.134
13,O00391,96,10280.3
14,O00391,108,12250.066666666666
15,O00533,0,526944.2587628866
16,O00533,3,437353.0
17,O00533,6,514652.82177419355
18,O00533,12,487672.3027777778
19,O00533,18,528950.125
20,O00533,24,523534.8739884393
21,O00533,30,410685.0
22,O00533,36,519145.6972972973
23,O00533,48,502416.23840579716
24,O00533,54,985396.0
25,O00533,60,506962.34523809527
26,O00533,72,477382.0
27,O00533,84,480821.5
28,O00533,96,389226.5
29,O00533,108,528392.25
30,O00584,0,26037.536614583336
31,O00584,3,27450.399999999998
32,O00584,6,27204.591879032258
33,O00584,12,25039.530395480226
34,O00584,18,21963.55375
35,O00584,24,26923.492823529414
36,O00584,30,18847.0
37,O00584,36,26181.42301369863
38,O00584,48,27562.914671532846
39,O00584,54,37066.85
40,O00584,60,28168.370357142856
41,O00584,72,24571.124
42,O00584,84,25565.806666666664
43,O00584,96,35582.7
44,O00584,108,32290.6
45,O14498,0,27840.791731843576
46,O14498,3,24938.833333333332
47,O14498,6,27007.994827586204
48,O14498,12,27118.848447204968
49,O14498,18,28018.957142857143
50,O14498,24,27490.34375
51,O14498,30,25230.0
52,O14498,36,27216.831985815603
53,O14498,48,27869.61769230769
54,O14498,54,37525.05
55,O14498,60,26318.550649350647
56,O14498,72,24005.4535
57,O14498,84,27063.14827586207
58,O14498,96,32779.1
59,O14498,108,27456.550000000003
60,O14773,0,18148.297595628414
61,O14773,3,18369.166666666668
62,O14773,6,17195.943362068963
63,O14773,12,18002.58587878788
64,O14773,18,18467.3
65,O14773,24,17901.70115151515
66,O14773,30,19581.8
67,O14773,36,17865.93978417266
68,O14773,48,16932.80649253731
69,O14773,54,12164.175
70,O14773,60,17438.041298701297
71,O14773,72,16129.649
72,O14773,84,16228.68724137931
73,O14773,96,29619.75
74,O14773,108,25931.5
75,O14791,0,3041.8288545454548
76,O14791,3,3174.1866666666665
77,O14791,6,2894.2273214285715
78,O14791,12,3045.152294520548
79,O14791,18,3076.5766666666664
80,O14791,24,2984.783729166667
81,O14791,30,2712.69
82,O14791,36,3043.292606837607
83,O14791,48,2971.4886694915253
84,O14791,54,3531.475
85,O14791,60,3095.9116216216216
86,O14791,72,2785.90619047619
87,O14791,84,3098.735357142857
88,O14791,96,2290.5699999999997
89,O14791,108,2279.713333333333
90,O15240,0,135391.4298969072
91,O15240,3,95809.33333333333
92,O15240,6,126724.3056451613
93,O15240,12,122566.82111111112
94,O15240,18,128778.35
95,O15240,24,129157.5583815029
96,O15240,30,82990.3
97,O15240,36,120059.65234899329
98,O15240,48,120187.30652173914
99,O15240,54,137546.75
100,O15240,60,126555.03333333334
101,O15240,72,117616.24761904763
102,O15240,84,126803.64
103,O15240,96,129124.5
104,O15240,108,176874.3
105,O15394,0,52143.97054644809
106,O15394,3,48478.799999999996
107,O15394,6,52609.75095652174
108,O15394,12,48204.94670520231
109,O15394,18,38579.275
110,O15394,24,52359.18109756097
111,O15394,30,49432.7
112,O15394,36,48448.48856115108
113,O15394,48,50861.445190839695
114,O15394,54,49879.9
115,O15394,60,52425.35487179487
116,O15394,72,46959.03380952381
117,O15394,84,52486.95357142857
118,O15394,96,66466.1
119,O15394,108,60482.799999999996
120,O43505,0,199322.97680412373
121,O43505,3,176285.0
122,O43505,6,192208.07154471547
123,O43505,12,187949.61444444445
124,O43505,18,177684.1375
125,O43505,24,200246.4514450867
126,O43505,30,95687.9
127,O43505,36,202077.5810810811
128,O43505,48,197446.40579710144
129,O43505,54,212993.5
130,O43505,60,191048.70357142857
131,O43505,72,182683.345
132,O43505,84,195162.69
133,O43505,96,210947.0
134,O43505,108,181463.75
135,O60888,0,150930.52936842103
136,O60888,3,156397.66666666666
137,O60888,6,143808.78108333334
138,O60888,12,141223.36023391812
139,O60888,18,140217.0
140,O60888,24,148508.51796407186
141,O60888,30,126291.0
142,O60888,36,144548.49448275863
143,O60888,48,145281.85714285713
144,O60888,54,206317.4
145,O60888,60,142780.12409638555
146,O60888,72,127494.45238095238
147,O60888,84,142975.6344827586
148,O60888,96,136357.0
149,O60888,108,156060.75
150,O75144,0,79647.68762886598
151,O75144,3,84887.03333333334
152,O75144,6,78493.79838709677
153,O75144,12,75390.76927374302
154,O75144,18,78243.55
155,O75144,24,80973.14523255815
156,O75144,30,22648.0
157,O75144,36,80869.16621621621
158,O75144,48,78101.76715328467
159,O75144,54,122564.6
160,O75144,60,78743.20714285715
161,O75144,72,79031.34761904762
162,O75144,84,77476.91666666667
163,O75144,96,73225.1
164,O75144,108,86405.15
165,O75326,0,6997.8549495798325
166,O75326,3,4545.065
167,O75326,6,7157.0750632911395
168,O75326,12,6517.450619469027
169,O75326,18,6813.646666666667
170,O75326,24,6809.380952380952
171,O75326,36,6936.655222222222
172,O75326,48,6389.128314606742
173,O75326,54,5235.965
174,O75326,60,6539.193454545455
175,O75326,72,5390.951538461538
176,O75326,84,6525.157222222222
177,O75326,96,4659.15
178,O75326,108,6158.185
179,O94919,0,36711.355322580646
180,O94919,3,41267.23333333333
181,O94919,6,35795.19535087719
182,O94919,12,35562.685
183,O94919,18,43077.7875
184,O94919,24,36307.370493827155
185,O94919,30,46210.6
186,O94919,36,37873.726397058825
187,O94919,48,35355.873821138215
188,O94919,54,80046.7
189,O94919,60,35561.53151898734
190,O94919,72,30918.261052631577
191,O94919,84,31578.31620689655
192,O94919,96,42464.1
193,O94919,108,35079.375
194,P00441,0,47135.13167539267
195,P00441,3,48020.03333333333
196,P00441,6,46978.86796747967
197,P00441,12,42258.92491525424
198,P00441,18,48732.725
199,P00441,24,47230.924556213016
200,P00441,30,28410.7
201,P00441,36,45913.59081081081
202,P00441,48,45095.1
203,P00441,54,93311.3
204,P00441,60,43807.032222222224
205,P00441,72,44581.75571428571
206,P00441,84,43816.59655172414
207,P00441,96,55570.75
208,P00441,108,57884.15
209,P00450,0,1008153.1134020619
210,P00450,3,908128.3333333334
211,P00450,6,994781.8870967742
212,P00450,12,994153.1166666667
213,P00450,18,1011423.0
214,P00450,24,1009272.161849711
215,P00450,30,1461230.0
216,P00450,36,1005475.7635135135
217,P00450,48,1019023.9492753623
218,P00450,54,872108.5
219,P00450,60,1032971.3452380953
220,P00450,72,960304.5238095238
221,P00450,84,975965.9
222,P00450,96,965616.5
223,P00450,108,1031584.75
224,P00734,0,691654.5520618557
225,P00734,3,640578.6666666666
226,P00734,6,678048.7741935484
227,P00734,12,681984.0777777778
228,P00734,18,603790.625
229,P00734,24,673212.1445086705
230,P00734,30,906736.0
231,P00734,36,688756.6689189189
232,P00734,48,676263.1594202898
233,P00734,54,818397.5
234,P00734,60,680450.0119047619
235,P00734,72,673062.619047619
236,P00734,84,671186.9
237,P00734,96,647638.5
238,P00734,108,710842.5
239,P00736,0,71595.88973544973
240,P00736,3,83572.26666666666
241,P00736,6,72406.47723577236
242,P00736,12,72508.25294797687
243,P00736,18,74314.0875
244,P00736,24,72963.04319526628
245,P00736,30,94371.7
246,P00736,36,75393.54595890411
247,P00736,48,73362.61867647059
248,P00736,54,112863.15
249,P00736,60,76649.47023809524
250,P00736,72,78567.78095238094
251,P00736,84,80368.79655172414
252,P00736,96,82252.45
253,P00736,108,86434.975
254,P00738,0,3715288.6340206186
255,P00738,3,3242100.0
256,P00738,6,3573467.762903226
257,P00738,12,3495045.8324022344
258,P00738,18,2938216.125
259,P00738,24,3750282.156069364
260,P00738,30,15353500.0
261,P00738,36,3680286.7270270274
262,P00738,48,3770180.5217391304
263,P00738,54,2502630.0
264,P00738,60,3574606.785714286
265,P00738,72,2315824.095238095
266,P00738,84,2955530.6333333333
267,P00738,96,2579010.0
268,P00738,108,3467080.0
269,P00746,0,100886.30785340315
270,P00746,3,103305.59999999999
271,P00746,6,104235.79919354839
272,P00746,12,101081.60790960453
273,P00746,18,114069.58571428571
274,P00746,24,105851.01461988305
275,P00746,30,140795.0
276,P00746,36,105807.27346938774
277,P00746,48,106491.18148148149
278,P00746,54,92469.95
279,P00746,60,105707.56785714284
